subject_id,region,value,unit
2,OF,1.59999999999999,mg
2,NAc,2.0,mg
2,PL,1.700000000000035,mg
2,HY,2.0,mg
2,SJ,0.8,mg
2,V1,2.29999999999997,mg
2,M1,1.39999999999996,mg
2,aCC,1.60000000000005,mg
2,DLG,2.09999999999999,mg
2,VTA,2.39,mg
2,S1R,3.20000000000004,mg
2,dH,2.2,mg
2,vH,1.40000000000007,mg
2,DL,1.4,mg
2,DM,1.2,mg
2,VM,4.800000000000026,mg
2,VL,2.099999999999991,mg
2,DR,1.9,mg
2,CB,1.80000000000002,mg
2,AC,1.69999999999998,mg
2,MD,1.3,mg
2,SC,2.59999999999994,mg
2,MR,2.37,mg
2,VPR,2.29999999999997,mg
2,VPL,2.29999999999997,mg
2,SN,2.599999999999936,mg
2,S1L,3.19999999999998,mg
2,S1L6R,2.1,mg
2,A,2.2,mg
2,S1L6L,2.3,mg
2,IC,2.15,mg
5,OF,1.99999999999995,mg
5,NAc,1.8,mg
5,PL,1.699999999999924,mg
5,HY,1.8,mg
5,SJ,1.5,mg
5,V1,3.0,mg
5,M1,1.09999999999999,mg
5,aCC,1.29999999999997,mg
5,DLG,1.90000000000001,mg
5,VTA,2.39,mg
5,S1R,2.70000000000004,mg
5,dH,2.09999999999999,mg
5,vH,2.0,mg
5,DL,1.8,mg
5,DM,1.6,mg
5,VM,2.19999999999998,mg
5,VL,1.500000000000001,mg
5,DR,2.2,mg
5,CB,2.80000000000002,mg
5,AC,2.0,mg
5,MD,2.2,mg
5,SC,1.69999999999992,mg
5,MR,2.4,mg
5,VPR,1.50000000000006,mg
5,VPL,1.60000000000005,mg
5,SN,1.800000000000024,mg
5,S1L,2.49999999999995,mg
5,S1L6R,2.1,mg
5,A,2.6,mg
5,S1L6L,2.1,mg
5,IC,1.90000000000001,mg
7,OF,2.29999999999997,mg
7,NAc,2.1,mg
7,PL,1.599999999999935,mg
7,HY,2.4,mg
7,SJ,2.2,mg
7,V1,3.69999999999993,mg
7,M1,2.50000000000006,mg
7,aCC,2.29999999999997,mg
7,DLG,1.90000000000001,mg
7,VTA,2.599999999999936,mg
7,S1R,3.90000000000001,mg
7,dH,2.50000000000006,mg
7,vH,2.59999999999994,mg
7,DL,1.8,mg
7,DM,2.1,mg
7,VM,2.000000000000002,mg
7,VL,2.000000000000002,mg
7,DR,1.7,mg
7,CB,3.09999999999999,mg
7,AC,2.40000000000007,mg
7,MD,1.4,mg
7,SC,2.0,mg
7,MR,2.37,mg
7,VPR,1.50000000000006,mg
7,VPL,2.39999999999996,mg
7,SN,2.599999999999936,mg
7,S1L,2.09999999999999,mg
7,S1L6R,3.9,mg
7,A,2.4,mg
7,S1L6L,2.6,mg
7,IC,2.09999999999999,mg
9,OF,2.70000000000004,mg
9,NAc,1.9,mg
9,PL,2.599999999999936,mg
9,HY,1.5,mg
9,SJ,1.1,mg
9,V1,3.29999999999997,mg
9,M1,2.19999999999998,mg
9,aCC,2.30000000000002,mg
9,DLG,1.49999999999995,mg
9,VTA,3.300000000000081,mg
9,S1R,3.29999999999997,mg
9,dH,2.50000000000006,mg
9,vH,2.79999999999997,mg
9,DL,2.0,mg
9,DM,1.9,mg
9,VM,2.399999999999958,mg
9,VL,2.500000000000058,mg
9,DR,1.2,mg
9,CB,4.09999999999999,mg
9,AC,1.90000000000001,mg
9,MD,1.5,mg
9,SC,1.79999999999997,mg
9,MR,3.9,mg
9,VPR,2.19999999999998,mg
9,VPL,1.90000000000001,mg
9,SN,2.800000000000025,mg
9,S1L,3.40000000000007,mg
9,S1L6R,3.0,mg
9,A,2.5,mg
9,S1L6L,2.5,mg
9,IC,2.39999999999996,mg
11,OF,2.80000000000002,mg
11,NAc,2.3,mg
11,PL,2.399999999999958,mg
11,HY,2.5,mg
11,SJ,2.3,mg
11,V1,4.90000000000002,mg
11,M1,2.40000000000001,mg
11,aCC,2.79999999999997,mg
11,DLG,2.19999999999998,mg
11,VTA,2.700000000000036,mg
11,S1R,3.69999999999993,mg
11,dH,2.50000000000006,mg
11,vH,3.50000000000006,mg
11,DL,2.3,mg
11,DM,2.4,mg
11,VM,2.399999999999958,mg
11,VL,1.800000000000024,mg
11,DR,2.3,mg
11,CB,6.60000000000005,mg
11,AC,2.05,mg
11,MD,1.6,mg
11,SC,2.09999999999999,mg
11,MR,2.37,mg
11,VPR,2.8999999999999,mg
11,VPL,1.80000000000002,mg
11,SN,1.700000000000035,mg
11,S1L,3.90000000000001,mg
11,S1L6R,3.7,mg
11,A,3.4,mg
11,S1L6L,3.7,mg
11,IC,2.19999999999998,mg
17,OF,1.69999999999998,mg
17,NAc,2.0,mg
17,PL,1.299999999999968,mg
17,HY,1.3,mg
17,SJ,1.2,mg
17,V1,1.19999999999998,mg
17,M1,2.09999999999999,mg
17,aCC,2.5,mg
17,DLG,1.90000000000001,mg
17,VTA,2.099999999999991,mg
17,S1R,4.19999999999998,mg
17,dH,2.39999999999996,mg
17,vH,2.40000000000007,mg
17,DL,1.4,mg
17,DM,1.8,mg
17,VM,3.500000000000059,mg
17,VL,1.300000000000079,mg
17,DR,1.9,mg
17,CB,2.70000000000004,mg
17,AC,1.40000000000001,mg
17,MD,1.9,mg
17,SC,1.60000000000005,mg
17,MR,1.4,mg
17,VPR,1.39999999999996,mg
17,VPL,1.39999999999996,mg
17,SN,2.000000000000002,mg
17,S1L,2.39999999999996,mg
17,S1L6R,2.8,mg
17,A,2.2,mg
17,S1L6L,2.5,mg
17,IC,2.0,mg
20,OF,1.90000000000001,mg
20,NAc,2.2,mg
20,PL,1.599999999999935,mg
20,HY,2.3,mg
20,SJ,1.4,mg
20,V1,1.70000000000003,mg
20,M1,1.29999999999997,mg
20,aCC,1.80000000000002,mg
20,DLG,1.79999999999991,mg
20,VTA,2.099999999999991,mg
20,S1R,3.49999999999995,mg
20,dH,1.60000000000005,mg
20,vH,1.89999999999996,mg
20,DL,1.9,mg
20,DM,1.8,mg
20,VM,2.000000000000002,mg
20,VL,1.499999999999946,mg
20,DR,1.4,mg
20,CB,2.60000000000005,mg
20,AC,1.0,mg
20,MD,1.1,mg
20,SC,2.90000000000001,mg
20,MR,1.9,mg
20,VPR,2.0,mg
20,VPL,1.90000000000001,mg
20,SN,2.599999999999936,mg
20,S1L,3.49999999999995,mg
20,S1L6R,2.7,mg
20,A,2.6,mg
20,S1L6L,2.2,mg
20,IC,2.15,mg
28,OF,2.49999999999995,mg
28,NAc,2.7,mg
28,PL,2.19999999999998,mg
28,HY,2.4,mg
28,SJ,1.5,mg
28,V1,3.09999999999999,mg
28,M1,2.90000000000001,mg
28,aCC,2.40000000000007,mg
28,DLG,3.59999999999994,mg
28,VTA,3.199999999999981,mg
28,S1R,2.80000000000002,mg
28,dH,2.29999999999997,mg
28,vH,2.39999999999996,mg
28,DL,2.4,mg
28,DM,1.6,mg
28,VM,2.19999999999998,mg
28,VL,2.500000000000058,mg
28,DR,1.6,mg
28,CB,4.29999999999997,mg
28,AC,2.50000000000006,mg
28,MD,1.4,mg
28,SC,2.60000000000005,mg
28,MR,2.5,mg
28,VPR,2.80000000000002,mg
28,VPL,1.90000000000001,mg
28,SN,2.19999999999998,mg
28,S1L,4.20000000000009,mg
28,S1L6R,3.1,mg
28,A,2.3,mg
28,S1L6L,3.6,mg
28,IC,2.29999999999997,mg
32,OF,2.49999999999995,mg
32,NAc,2.2,mg
32,PL,2.000000000000002,mg
32,HY,2.5,mg
32,SJ,1.4,mg
32,V1,3.09999999999999,mg
32,M1,2.09999999999999,mg
32,aCC,2.29999999999997,mg
32,DLG,1.5,mg
32,VTA,2.000000000000002,mg
32,S1R,3.39999999999996,mg
32,dH,2.49999999999995,mg
32,vH,2.40000000000007,mg
32,DL,2.8,mg
32,DM,1.8,mg
32,VM,1.700000000000035,mg
32,VL,2.200000000000091,mg
32,DR,1.6,mg
32,CB,4.79999999999992,mg
32,AC,1.70000000000003,mg
32,MD,1.5,mg
32,SC,2.0,mg
32,MR,1.9,mg
32,VPR,1.59999999999999,mg
32,VPL,2.0,mg
32,SN,1.800000000000024,mg
32,S1L,2.70000000000004,mg
32,S1L6R,3.2,mg
32,A,2.4,mg
32,S1L6L,2.8,mg
32,IC,2.0,mg
59,OF,1.59999999999999,mg
59,NAc,2.6,mg
59,PL,2.000000000000002,mg
59,HY,1.9,mg
59,SJ,2.1,mg
59,V1,4.29999999999997,mg
59,M1,2.30000000000002,mg
59,aCC,2.20000000000004,mg
59,DLG,2.90000000000001,mg
59,VTA,2.000000000000002,mg
59,S1R,3.40000000000001,mg
59,dH,2.5,mg
59,vH,2.89999999999996,mg
59,DL,2.8,mg
59,DM,2.7,mg
59,VM,1.900000000000013,mg
59,VL,1.900000000000013,mg
59,DR,2.2,mg
59,CB,4.0,mg
59,AC,2.5,mg
59,MD,1.1,mg
59,SC,,mg
59,MR,2.0,mg
59,VPR,2.40000000000001,mg
59,VPL,3.29999999999997,mg
59,SN,1.899999999999957,mg
59,S1L,2.59999999999999,mg
